ObservedAt:	
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_3.5_071.fit
	Total no of stars: 2508
	Radius of star diaphragm: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 1      Star ADU 2      Star ADU 3      Star ADU 4      Star ADU 5      Star ADU 6      Star ADU 7      Star ADU 8      Star ADU 9     Star ADU 10     Star ADU 11     Star ADU 12
          781.63          426.07          2.6328          2.5356          2.5842          733.31        44870.03        74897.67        92113.18        96277.39        97597.21        97946.73        98128.72        98230.06        98199.37        98214.41        98345.92        98549.97
          214.79           77.14          3.8054          3.5777          3.6915          745.56        28021.91        57663.01        85147.10        96146.91       100959.27       102477.17       103155.89       103796.86       104751.34       106997.67       111708.72       118803.75
          787.22          652.17          2.8641          2.9001          2.8821          735.55        39995.08        70964.25        90233.67        95437.27        98491.93       100591.43       101821.20       102571.15       102968.06       103129.72       103199.15       103099.75
          228.50          627.40          3.7349          3.6018          3.6683          744.93        23901.08        51893.79        80837.34        92847.86        97584.10        99803.31       103168.90       108897.32       116915.78       121169.89       122855.91       123728.49
          625.22          611.09          2.7799          2.8078          2.7938          734.04        38694.49        68823.19        86726.87        91007.43        92268.64        92532.27        92558.49        92667.68        92797.80        92708.95        92558.22        92690.43
          721.27          289.09          2.7629          2.6136          2.6883          732.71        44526.92        72816.62        87737.97        91253.81        92493.89        92911.76        93165.87        93265.95        93340.59        93426.63        93305.22        93070.68
          265.20          351.24          3.6115          3.2040          3.4078          753.99        25792.81        53746.92        78419.01        86426.03        89186.95        89944.60        90464.16        90920.40        91210.92        91486.65        91659.37        91531.53
          456.92          500.92          2.9805          2.7184          2.8495          748.46        36307.36        61822.94        77713.55        82135.22        83571.01        84055.58        84314.08        84512.23        84783.36        85257.31        85542.40        85695.82
          508.80          501.03          2.8633          2.5796          2.7214          748.46        37251.07        62038.94        77169.45        81209.23        82301.71        82581.05        82841.37        82811.63        82646.84        82441.82        82255.44        82046.49
          395.78          124.39          3.3118          3.1042          3.2080          735.90        28721.81        54220.41        74176.18        80937.25        83562.86        84600.25        85218.54        85809.21        86320.46        86737.66        86906.94        87132.63
          757.30          209.82          2.6865          2.7883          2.7374          727.47        34781.09        59334.83        73845.96        77592.58        78786.61        79095.05        79185.83        79376.02        79364.89        79239.92        79315.39        79507.70
          858.47          616.28          2.7282          2.7924          2.7603          733.05        34586.00        59595.24        74247.56        77991.57        79233.98        79616.71        79645.43        79748.54        79992.18        80205.92        80541.23        81151.78
           58.47          925.21          4.5097          4.2771          4.3934          742.13        16462.64        37745.12        63886.04        77830.01        84553.16        86796.33        87604.27        88092.88        88325.78        88470.24        88445.94        88460.93
          410.02          319.53          3.3414          3.2795          3.3105          735.77        24371.56        46800.72        66601.32        74263.33        76936.20        77601.70        77951.65        78175.47        78414.49        78806.36        79124.66        79477.45
          329.84          622.93          3.4588          2.9440          3.2014          743.48        27384.46        50358.42        67811.21        73815.54        76072.37        76743.47        77061.77        77483.92        78108.92        79007.54        80159.68        81723.23
           98.76          657.86          4.1673          3.6948          3.9311          737.40        19786.90        40168.75        61025.10        71466.48        77316.92        79489.10        80367.73        80766.97        80722.27        80674.11        80652.92        80811.52
          127.24          183.36          4.1313          3.6845          3.9079          750.02        17291.38        38693.02        63007.49        73448.02        77604.71        78677.64        79279.03        79845.35        80314.31        80703.62        81106.39        81955.48
          364.58          465.33          3.2919          2.7979          3.0449          760.92        27866.82        49383.92        65232.43        70696.32        72903.34        73630.06        73963.80        74207.58        74273.78        74819.86        76075.48        78511.52
          685.79          414.93          2.6115          2.4787          2.5451          736.31        34970.86        56460.68        68247.09        71172.34        72185.53        72808.52        73307.68        73934.32        74271.35        74230.66        74225.41        74289.42
          854.08          600.89          2.7229          3.3385          3.0307          733.05        28680.72        50333.48        65274.38        70355.10        71956.01        72342.94        72587.06        72848.44        73172.50        73806.45        74169.11        74227.77
          427.23          148.54          3.0616          3.3199          3.1908          735.47        23472.19        44552.66        61748.14        68117.43        71071.27        72447.83        73556.33        74768.40        75833.01        76356.14        76538.83        76734.20
          401.98          180.76          3.1671          3.0609          3.1140          735.47        26430.34        47374.91        62504.39        67788.47        70134.41        71742.28        74194.91        77764.89        80581.83        82052.49        83281.95        84786.54
          540.23          453.56          2.8496          2.7834          2.8165          743.54        24954.40        45872.07        60106.52        63935.85        65220.71        65852.73        66249.22        66575.42        66637.92        66829.71        67096.42        67379.05
          750.12          586.00          2.7408          2.7106          2.7257          735.53        30123.43        51677.53        63279.36        65776.14        66440.96        66473.23        66393.10        66478.96        66546.03        66730.47        66904.62        66935.04
          829.80          910.30          2.9041          3.4081          3.1561          733.35        22566.25        41953.49        57316.29        62949.84        65212.04        65816.78        65982.39        66022.22        66008.94        66174.21        66363.42        66419.37
          698.70          307.46          2.6226          2.5601          2.5914          732.05        25821.92        46117.72        59006.45        62113.70        62973.73        63208.13        63286.06        63192.03        63000.54        62929.30        62701.79        62529.32
          420.39          857.49          3.3452          3.7116          3.5284          740.23        17953.80        37141.98        54820.06        61441.47        63890.11        64571.23        64673.17        64779.39        64698.47        64689.99        64532.76        64364.72
          679.27          172.25          2.8325          3.0118          2.9222          731.07        26225.45        46699.95        59132.70        62253.97        63401.80        64157.58        65350.80        66795.83        67878.25        68456.31        68621.70        68808.72
          130.89          850.61          4.1944          3.8294          4.0119          737.44        16237.18        33910.23        52040.57        60773.09        65497.16        67231.51        68163.10        68803.51        69044.68        69035.06        69194.29        69610.02
          403.48          941.36          3.6962          3.8557          3.7760          739.08        17783.47        35223.45        52158.61        60099.75        64300.97        65996.89        67247.02        68275.60        68856.99        69119.53        69411.07        70125.77
          568.41          337.35          2.7623          2.8624          2.8124          732.96        25126.74        44385.55        55590.20        58406.50        59739.23        60224.56        60545.67        61121.46        62882.40        64255.47        64644.60        64627.18
          490.16           46.97          3.2320          3.2226          3.2273          733.36        22460.21        41272.56        55156.85        59830.03        61711.09        62269.35        62677.13        63096.39        63221.98        63283.38        63239.34        63145.47
          832.67          613.19          2.6703          2.6892          2.6798          733.05        26216.11        45429.29        57119.63        59986.47        61051.02        61832.71        62874.35        63972.80        64688.01        65061.64        65428.81        65792.18
          738.39          695.52          2.7727          2.9608          2.8667          737.64        21461.20        40490.93        53940.30        57875.80        61098.33        63764.61        66320.01        69097.01        70488.28        71047.54        70992.14        70860.36
          786.29          181.09          2.7055          2.9037          2.8046          731.04        25134.97        43693.52        54773.85        57624.72        58504.87        58662.76        58687.27        58736.36        58865.40        58727.64        58502.43        58234.82
          509.83          179.42          3.0058          2.9699          2.9879          730.63        22695.66        40999.07        53358.44        56973.19        58095.97        58470.19        58777.37        58938.71        59071.04        59171.54        59036.03        58976.01
          808.63          976.38          2.9499          3.5817          3.2658          732.40        18187.75        35130.33        50378.31        56689.10        59388.37        60040.93        60421.68        60745.10        60813.02        60926.73        61682.79        63656.68
          674.33          800.79          4.0147          3.2359          3.6253          731.19        19545.54        36929.49        49731.30        54466.56        57134.13        58131.92        58663.94        59428.68        60560.93        61361.92        61929.72        62203.99
          145.35           67.48          4.2616          3.8572          4.0594          750.02        11987.90        27868.65        47153.05        55639.55        58986.06        59821.39        60094.64        60469.20        60843.58        61580.94        62532.20        63729.68
          267.17          479.98          3.5390          2.9326          3.2358          758.88        19609.02        36615.76        49685.19        54022.56        55337.30        55731.72        56853.08        62312.22        88521.98       133651.75       178387.29       210624.25
          472.58          242.69          2.8435          2.7697          2.8066          732.03        21088.47        36484.01        47346.73        50953.92        52049.06        52264.65        52381.69        52314.11        52191.51        52105.17        52016.73        51856.46
          676.38          569.35          2.9916          2.6037          2.7977          733.67        22378.77        38018.85        46885.68        49568.84        51819.77        52944.52        53715.65        54857.05        55180.30        55202.37        55140.58        55240.25
          574.11           78.73          2.9511          3.1110          3.0311          731.56        20444.57        36207.81        47260.27        50817.39        52049.66        52486.22        52898.41        53063.65        53253.96        53645.22        54032.48        54444.88
          488.90          571.45          3.0678          2.9616          3.0147          744.45        18505.44        33960.11        45495.15        48888.22        49946.80        50585.97        53212.29        66481.40       115481.54       216837.42       325812.23       390471.97
          521.09          626.42          2.8324          2.9809          2.9066          736.30        19708.56        34777.80        44711.20        47482.06        48844.72        50485.55        53898.04        62213.94        78134.53        86355.04        88397.30        88647.60
          652.37          157.33          3.0261          2.9143          2.9702          731.07        19575.61        35813.03        46248.73        48797.08        49444.67        49443.82        49411.41        49505.50        49768.19        50859.83        52545.90        54999.39
          646.14          704.35          3.2210          3.5591          3.3900          733.79        16329.38        31840.35        44015.16        47742.37        49141.83        49556.29        49790.01        50069.50        50588.88        51314.95        51625.27        51679.46
          309.28          389.97          3.4249          2.9538          3.1894          761.10        17258.62        32555.88        43933.91        47347.12        48346.14        48468.72        48576.23        48851.43        49078.35        49702.55        51624.76        55852.80
          486.20          514.75          2.9172          2.8495          2.8833          744.45        18978.28        34038.73        43566.45        46170.33        47100.97        47397.51        47566.02        47865.36        47958.91        48071.45        48199.27        48198.81
          161.28          542.11          3.8567          3.5774          3.7171          739.02        13271.43        27937.04        41406.32        46543.45        48550.88        49427.62        50014.92        50576.16        51373.25        52786.25        54544.87        56126.03
          689.81          769.91          2.8498          3.1209          2.9854          731.19        18494.02        33283.99        43291.89        46151.39        47184.62        47627.51        47949.30        48383.69        48838.59        49366.50        49558.21        49696.04
          403.09          363.38          3.2142          2.8370          3.0256          742.77        16989.44        31583.05        42132.08        45086.30        46124.25        46484.32        46689.59        46880.43        47167.84        47450.33        47604.80        47905.03
          492.29          551.35          2.9664          2.8159          2.8912          744.45        18150.32        32235.68        41303.37        43631.96        44404.82        44799.23        45176.94        45274.16        44828.86        44244.01        43938.10        43851.82
          305.35          445.89          3.5138          3.1770          3.3454          761.10        15450.12        30503.59        41917.69        45361.61        46577.53        46993.36        47352.09        47757.76        48328.30        48807.37        49246.99        49675.05
          895.75          613.87          2.6876          2.7879          2.7377          733.05        19548.41        34276.49        43513.51        45679.12        46368.33        46687.88        46890.28        47144.75        47361.15        47360.01        47242.10        47096.39
          581.20          705.60          2.8358          3.0381          2.9369          734.24        15697.88        30323.75        41277.41        44209.04        44854.77        44832.64        44775.89        44689.55        44597.38        44447.17        44508.47        44667.35
          935.17          683.71          2.8555          2.9855          2.9205          730.94        17457.49        31939.29        42049.68        44986.95        45860.62        45999.25        46009.29        46174.61        46318.13        46314.09        46157.62        46023.04
          713.98          630.93          2.8219          2.8060          2.8139          735.53        19316.36        32813.82        41261.54        43839.38        44966.76        45084.58        45012.26        44990.31        44932.59        45278.27        46100.04        47412.11
          961.21          591.81          2.9789          2.7533          2.8661          729.61        18945.77        33207.56        42282.93        44795.16        45684.71        46142.50        46661.09        47118.59        47353.53        47312.56        47112.81        46907.97
          720.51          486.34          2.9082          2.7051          2.8067          739.24        17215.98        30942.00        40610.73        43425.23        44896.79        46607.09        48693.29        50837.32        51613.01        51557.19        51490.71        51398.10
          723.59          435.26          2.5259          2.4884          2.5072          735.82        20626.65        34279.05        42119.09        43986.62        44416.67        44391.28        44356.18        44403.16        44548.79        44860.79        45213.35        45804.38
