 Program: FIND Thu Jul 21 12:40:42 2022

 Threshold above background:   50.0
 Approximate FWHM:      3.50000
 Sharpness Limits: Low  0.20  High  1.00
 Roundness Limits: Low -1.00  High  1.00

 No of sources above threshold  5748
 No. of sources rejected by SHARPNESS criteria     439
 No. of sources rejected by ROUNDNESS criteria     760
 No. of sources rejected by CENTROID  criteria       7

             STAR       X       Y     FLUX     SHARP    ROUND
              450  784.42  114.89    101.2     0.46     0.16
              451 1003.82  114.94     77.2     0.40    -0.87
              452   31.82  116.40    188.7     0.38     0.29
              453  241.59  115.90     75.8     0.62    -0.22
              454  485.67  115.85    422.1     0.41     0.08
              455  583.82  116.22    253.2     0.43     0.13
              456  755.13  116.13     67.6     0.43     0.30
              457  600.24  117.21     58.6     0.42     0.79
              458  804.34  117.27   2125.5     0.40     0.06
              459  817.12  116.91     88.8     0.33     0.05
              460  309.70  117.78    233.7     0.45    -0.07
              461  624.81  118.14     92.1     0.51     0.02
              462  872.23  118.36     53.3     0.56     0.06
              463  894.39  117.83     66.8     0.36     0.32
              464  974.81  117.57     67.9     0.52     0.49
              465   72.95  119.23   2779.5     0.36     0.11
              466  271.61  119.19    313.6     0.43     0.08
              467  491.86  118.94     71.1     0.47     0.07
              468  786.01  118.21     55.5     0.46     0.90
              469  298.14  119.98    109.1     0.44    -0.07
              470  403.84  119.87     65.9     0.25     0.38
              471  441.19  119.55    109.8     0.42    -0.11
              472  662.14  119.69    111.8     0.39    -0.01
              473  775.93  120.59     93.0     0.41     0.31
              474  799.81  119.55    200.1     0.44    -0.32
              475  808.08  120.03   1063.9     0.41    -0.09
              476 1011.06  119.56     79.3     0.55    -0.56
              477   44.05  121.20     84.0     0.43    -0.26
              478  277.73  121.00    119.5     0.42    -0.23
              479  328.84  120.51     52.0     0.48     0.89
              480  339.44  121.13     76.3     0.47     0.21
              481  535.82  120.71     54.6     0.50    -0.58
              482  544.67  120.58     58.2     0.46    -0.31
              483  857.72  121.00     93.6     0.50    -0.28
              484  221.79  121.24     72.9     0.47     0.26
              485  317.55  121.92    126.1     0.39    -0.88
              486  469.14  121.21     54.7     0.33     0.14
              487  581.22  121.92     78.8     0.30     0.14
              488  641.33  122.29     98.6     0.34    -0.14
              489  704.82  121.81     66.6     0.25    -0.15
              490  754.76  122.00    988.0     0.43    -0.01
              491  370.81  123.13     69.1     0.37    -0.28
              492  612.53  122.55     76.9     0.30     0.39
              493  762.29  123.05     55.7     0.38     0.15
              494  820.93  122.74     55.4     0.43     0.16
              495  973.06  123.14     52.0     0.33     0.27
              496  978.88  122.59     62.5     0.56     0.67
              497 1004.98  122.67     62.7     0.44     0.61
              498    8.74  124.22    167.2     0.37     0.11
              499  301.09  123.65    123.6     0.45     0.18
              500  503.96  123.28     55.6     0.42     0.27
              501  526.17  123.70     73.7     0.41    -0.02
              502  558.12  125.37     54.4     0.36     0.34
              503  879.23  123.74    251.9     0.45    -0.02
              504   96.26  125.53     65.4     0.36     0.06
              505  321.77  125.46     52.4     0.58    -0.03
              506  395.82  124.51   8478.9     0.48     0.12
              507  462.88  124.76    106.7     0.34     0.31
              508  745.73  124.75    502.5     0.43    -0.04
              509  776.09  124.92    645.1     0.44     0.06
              510  802.02  125.04     70.4     0.48     0.90
              511  963.10  125.50    141.3     0.38     0.16
              512  204.32  126.18    146.0     0.35    -0.25
              513  514.75  125.96     72.8     0.44     0.01
              514  670.54  125.92     66.7     0.53    -0.46
              515  752.58  125.06     78.7     0.37     0.22
              516  145.60  127.34     52.2     0.36     0.65
              517  427.86  126.81    199.7     0.48     0.24
              518  521.74  126.68    140.4     0.44     0.02
              519  589.46  126.94    341.3     0.45    -0.13
              520  858.40  127.20    108.7     0.42    -0.20
              521  930.36  127.14   1196.0     0.40    -0.04
              522  205.94  127.27    117.3     0.39    -0.50
              523  358.57  127.58     79.8     0.44    -0.30
              524  420.86  127.88     61.4     0.31     0.65
              525  866.28  127.49     54.3     0.52    -0.88
              526  870.35  127.52   1389.2     0.45     0.06
              527  188.65  128.91    153.0     0.46     0.24
              528  507.86  128.73    250.0     0.43     0.14
              529  527.77  128.91     59.8     0.47    -0.19
              530  705.12  129.02    289.5     0.39     0.05
              531   82.87  129.59     65.8     0.36    -0.01
              532  367.51  129.79    258.7     0.44    -0.05
              533  621.11  129.97     54.8     0.45     0.69
              534  640.71  129.85     62.4     0.55    -0.00
              535  729.89  130.18    191.7     0.40     0.21
              536  106.16  130.94    451.9     0.44    -0.32
              537  380.83  130.53    284.4     0.48     0.17
              538  553.55  131.08    508.3     0.44    -0.09
              539  965.29  130.89    774.7     0.44    -0.08
              540  348.03  130.87     50.0     0.33    -0.28
              541  840.03  131.92     69.4     0.44    -0.16
              542   24.59  132.84     83.4     0.49    -0.34
              543  415.14  133.00    281.1     0.36    -0.26
              544  956.89  132.96    965.9     0.43     0.06
              545  259.36  133.42    101.7     0.63    -0.60
              546  317.76  133.52     52.6     0.92    -0.15
              547  431.68  133.72   1497.5     0.46     0.13
              548  541.26  133.85    120.0     0.40     0.46
              549  683.84  133.72     55.9     0.44    -0.06
              550  817.20  133.99    107.0     0.46     0.28
              551  921.38  133.78    774.7     0.44    -0.10
