xcentroid	ycentroid	sharpness	roundness1	roundness2	npix	sky	peak	flux	mag
930.06	99.24	0.39	-0.44	0.15	25.00	0.00	82.98	1.46	-0.41
100.04	100.14	0.50	0.06	0.01	25.00	0.00	153.06	1.94	-0.72
414.44	101.05	0.38	0.91	0.45	25.00	0.00	66.69	1.00	-0.00
829.69	101.53	0.43	0.63	-0.16	25.00	0.00	80.26	1.21	-0.20
203.29	102.10	0.48	0.36	-0.26	25.00	0.00	154.97	1.97	-0.74
277.06	101.36	0.45	0.12	-0.02	25.00	0.00	1707.17	24.21	-3.46
646.60	101.36	0.43	0.20	0.11	25.00	0.00	119.91	1.98	-0.74
719.88	102.30	0.33	0.23	0.26	25.00	0.00	215.38	3.56	-1.38
867.72	101.92	0.42	-0.19	-0.02	25.00	0.00	2705.51	44.31	-4.12
70.41	102.80	0.48	-0.00	-0.23	25.00	0.00	139.32	1.91	-0.70
197.12	102.87	0.48	-0.09	-0.43	25.00	0.00	143.14	1.72	-0.59
29.52	104.11	0.49	-0.11	0.11	25.00	0.00	95.93	1.14	-0.14
63.75	103.62	0.45	-0.41	-0.32	25.00	0.00	79.55	1.05	-0.06
838.69	103.57	0.45	0.14	0.05	25.00	0.00	885.90	14.01	-2.87
946.29	104.26	0.43	-0.65	-0.09	25.00	0.00	218.91	2.96	-1.18
340.12	105.10	0.39	-0.04	-0.18	25.00	0.00	155.25	2.38	-0.94
455.53	104.24	0.49	0.82	0.28	25.00	0.00	592.33	8.21	-2.29
613.83	104.03	0.49	0.35	0.42	25.00	0.00	61.72	1.06	-0.07
661.17	104.80	0.43	0.17	0.06	25.00	0.00	2254.69	37.23	-3.93
312.82	105.54	0.53	0.34	0.06	25.00	0.00	285.16	3.85	-1.46
414.72	105.90	0.46	0.39	0.02	25.00	0.00	170.81	2.71	-1.08
565.35	105.74	0.44	0.25	0.04	25.00	0.00	557.70	8.16	-2.28
745.16	105.39	0.33	-0.25	0.35	25.00	0.00	56.48	1.16	-0.16
824.97	105.62	0.43	-0.05	0.12	25.00	0.00	2060.90	32.17	-3.77
909.88	105.37	0.44	0.32	0.41	25.00	0.00	72.54	1.38	-0.35
452.58	105.84	0.49	0.30	0.18	25.00	0.00	136.80	1.66	-0.55
627.19	107.62	0.58	-0.29	0.13	25.00	0.00	58.40	1.29	-0.28
654.60	108.11	0.47	0.24	-0.12	25.00	0.00	99.57	1.64	-0.54
723.96	108.29	0.38	-0.59	-0.21	25.00	0.00	73.03	1.22	-0.22
625.40	108.98	0.68	-0.84	-0.47	25.00	0.00	60.52	1.22	-0.22
861.12	108.66	0.43	-0.19	0.05	25.00	0.00	309.15	5.19	-1.79
896.17	109.37	0.40	-0.29	0.09	25.00	0.00	413.95	6.39	-2.01
971.96	109.31	0.40	-0.51	0.07	25.00	0.00	92.74	1.30	-0.28
314.57	110.69	0.46	-0.36	-0.43	25.00	0.00	119.78	1.48	-0.42
888.31	111.31	0.55	0.92	0.42	25.00	0.00	75.78	1.22	-0.22
948.73	111.45	0.39	-0.23	-0.03	25.00	0.00	65.51	1.25	-0.24
